,Age,Female,Male,County
4,40 - 50,28332,31920,UasinGishu
5,50 - 60,15319,16988,UasinGishu
6,60 - 70,8634,8836,UasinGishu
7,70 - 80,4857,4616,UasinGishu
8,80+,4783,3553,UasinGishu
0,0 - 10,84180,85648,Vihiga
1,10 - 20,70511,69566,Vihiga
2,20 - 30,41695,31391,Vihiga
3,30 - 40,29042,22626,Vihiga
4,40 - 50,22326,16921,Vihiga
5,50 - 60,18678,15048,Vihiga
6,60 - 70,12489,10881,Vihiga
7,70 - 80,8279,7086,Vihiga
8,80+,4582,3408,Vihiga
0,0 - 10,101919,114418,Wajir
1,10 - 20,86255,124991,Wajir
2,20 - 30,40368,44268,Wajir
3,30 - 40,33605,26992,Wajir
4,40 - 50,19343,24068,Wajir
5,50 - 60,7851,14352,Wajir
6,60 - 70,4005,8116,Wajir
7,70 - 80,2759,4233,Wajir
8,80+,1996,2230,Wajir
0,0 - 10,93068,95845,WestPokot
1,10 - 20,65659,69211,WestPokot
2,20 - 30,41993,35772,WestPokot
3,30 - 40,24504,22820,WestPokot
4,40 - 50,13666,13596,WestPokot
5,50 - 60,8387,8270,WestPokot
6,60 - 70,5236,4800,WestPokot
7,70 - 80,2680,2398,WestPokot
8,80+,2620,2047,WestPokot
